[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Emil Argirov', 'endMemberOf', 'Botev Plovdiv', '2026-11-11']]
[['John H Klaessens', 'endWorksFor', 'University Medical Center Utrecht', '2026-11-11']]
[['Gergő Beliczky', 'endMemberOf', 'University of Minnesota', '2026-11-11']]
[['Geoff Walker ( footballer)', 'endWorksFor', 'Gloucester Rugby', '2026-11-11']]
[['Reggie Smithson', 'endMemberOf', 'Montana Grizzlies basketball', '2026-11-11']]
[['Jonas Steel', 'endMemberOf', 'Roasso Kumamoto', '2026-11-11']]
[['Mattia Sprocati', 'endMemberOf', 'F. C. Crotone', '2026-11-11']]
[['Kevin Woods', 'endMemberOf', 'Utah Valley Wolverines men\' s basketball', '2026-11-12']]
[['Toshihide Saito', 'endMemberOf', 'National Jewish Health', '2026-11-12']]
[['Zhongzhou Chen', 'endWorksFor', 'Shonan Bellmare', '2026-11-12']]
[['Peter Artner', 'endMemberOf', 'Chinese Academy of Sciences', '2026-11-12']]
[['Nanlin Wang', 'endWorksFor', 'Mercer Bears men\' s basketball', '2026-11-12']]
[['Luizinho ( footballer, born 1977)', 'endMemberOf', 'Korea Institute Of Geoscience And Mineral Resources', '2026-11-12']]
[['Flo Davis', 'endMemberOf', 'VVV-Venlo', '2026-11-12']]
[['Park Seung-il', 'endMemberOf', 'Jeonnam Dragons', '2026-11-12']]
[['Jijo Christudasjustus', 'startMemberOf', 'Austria national football team generic instance', '2026-11-12']]
[['Ime Udoka', 'endMemberOf', 'Sacramento Kings', '2026-11-12']]
[['Christian M U002E Kerskens', 'endWorksFor', 'Humboldt University of Berlin', '2026-11-12']]
[['Helen Pearce', 'endWorksFor', 'GSK plc', '2026-11-12']]
[['Guoqian Chen', 'endMemberOf', 'Saint Joseph\' s Hawks men\' s basketball', '2026-11-12']]
[['Mad Ball', 'startMemberOf', 'University of Granada', '2026-11-12']]
[['Michael Tylo', 'endWorksFor', 'Molde FK', '2026-11-12']]
[['Jiří Drahoš', 'endWorksFor', 'Czech Academy of Sciences', '2026-11-12']]
[['Stas Pokatilov', 'endMemberOf', 'FC Shakhter Karagandy', '2026-11-12']]
[['Alejandro Wainselboim', 'startMemberOf', 'EF Education– EasyPost', '2026-11-12']]
[['Nathaniel Evans', 'endWorksFor', 'University of Geneva', '2026-11-12']]
[['Fabiana Ferreira De Souza', 'endWorksFor', 'Unifran', '2026-11-12']]
[['Takawashi', 'startMemberOf', 'National Oceanography Centre', '2026-11-12']]
[['Daigo Watanabe', 'endMemberOf', 'Omiya Ardija', '2026-11-12']]
[['Jermaine Clark', 'startMemberOf', 'Kawachinagano', '2026-11-12']]
[['Giacomo Delaude', 'endMemberOf', 'S. S. D. Acireale Calcio 1946', '2026-11-12']]
[['Hennadiy Bakan', 'endWorksFor', 'Glushkov Institute Of Cybernetics', '2026-11-12']]
[['Luís Fernandes ( cyclist)', 'endMemberOf', 'Aviludo– Louletano– Loulé Concelho', '2026-11-12']]
[['Jamal Sutton', 'endMemberOf', 'Charlotte Eagles', '2026-11-12']]
[['Mavillo Gheller', 'startMemberOf', 'Droylsden F. C.', '2026-11-12']]
[['Pascual Solanas Saura', 'endWorksFor', 'Catsalut', '2026-11-12']]
[['Günter Hoge', 'startMemberOf', 'FC Metallurg Lipetsk', '2026-11-12']]
[['Gennaro Bracigliano', 'endWorksFor', 'FC Chita', '2026-11-12']]
[['Timo Teniste', 'endMemberOf', 'JK Narva Trans', '2026-11-12']]
[['Frederik J. Simons', 'endWorksFor', 'University College London', '2026-11-12']]
[['Emanuel Aguilera', 'endMemberOf', 'Defensa y Justicia', '2026-11-12']]
[['Valeri Georgiev', 'endMemberOf', 'PFC Lokomotiv Plovdiv', '2026-11-12']]
[['Gennady Puninski', 'startAcademicDegree', 'Doctor Of Sciences In Physics And Mathematics generic instance', '2026-11-12']]
[['Haritza Camblong Ruiz', 'endWorksFor', 'Micro-Star International', '2026-11-12']]
[['David J Lawrence', 'endWorksFor', 'Los Alamos National Laboratory', '2026-11-12']]
[['Engert Bakalli', 'startMemberOf', 'Piast Gliwice', '2026-11-12']]
[['Emil Berger', 'startMemberOf', 'Notodden FK', '2026-11-12']]
[['David Pires', 'startMemberOf', 'Minervén S. C.', '2026-11-12']]
[['Tyler Millin', 'endMemberOf', 'Middle Tennessee Blue Raiders men\' s basketball', '2026-11-12']]
[['Bogdan Tudor ( rugby union)', 'endMemberOf', 'Valence Sportif', '2026-11-12']]
[['Sara Headley', 'endMemberOf', 'Podium Ambition Pro Cycling', '2026-11-12']]
[['Mark Hackett', 'endMemberOf', 'Hawaii Rainbow Warriors basketball', '2026-11-12']]
[['Henrik Gustavsson', 'endMemberOf', 'Åtvidabergs FF', '2026-11-13']]
[['Brad Turell', 'endMemberOf', 'UC Santa Barbara Gauchos men\' s basketball', '2026-11-13']]
[['Stéphanie Allassonnière', 'endWorksFor', 'École polytechnique', '2026-11-13']]
[['Elvir Melunović', 'endMemberOf', 'Salgueiro Atlético Clube', '2026-11-13']]
[['Fágner ( footballer, born 1988)', 'endMemberOf', 'Neuchâtel Xamax FCS', '2026-11-13']]
[['Eddie Andrews', 'startMemberOf', 'German Research Foundation', '2026-11-13']]
[['Joe Tighe', 'endMemberOf', 'Iona Gaels men\' s basketball', '2026-11-13']]
[['Mandy Glass', 'endMemberOf', 'Colchester United F. C.', '2026-11-13']]
[['Luigi Brugnano', 'endWorksFor', 'University of Florence', '2026-11-13']]
[['Tim Mathews', 'endMemberOf', 'Alabama State Hornets basketball', '2026-11-13']]
[['Walter B U002E Dye', 'endWorksFor', 'University of Nevada, Reno', '2026-11-14']]
[['Stefano Avanzini', 'endWorksFor', 'Istituto Giannina Gaslini', '2026-11-15']]
[['Philipp Busch', 'endWorksFor', 'Free University of Berlin', '2026-11-15']]
[['Joe Wilson', 'endMemberOf', 'St. John\' s Red Storm men\' s basketball', '2026-11-15']]
[['Andriy Mostovyi', 'endMemberOf', 'FC Lviv', '2026-11-16']]
[['Ismail Diakhité', 'endMemberOf', 'US Tataouine', '2026-11-16']]
[['Roslyn D Noar', 'endWorksFor', 'Boyce Thompson Institute', '2026-11-16']]
[['Ton van Engelen', 'endMemberOf', 'FC Akademiya Tolyatti', '2026-11-16']]
[['Patrick Scolyer-Gray', 'endMemberOf', 'Saint Mary\' s Gaels men\' s basketball', '2026-11-16']]
[['Brian Cashin', 'startMemberOf', 'Hanoi University of Science and Technology', '2026-11-16']]
[['Hoang Nhu Van', 'endWorksFor', 'German Research Foundation', '2026-11-16']]
[['Roberto Cano', 'startSpouse', 'Carolina Acevedo', '2026-11-16']]
[['Carlos Daniel', 'startMemberOf', 'Dyskobolia Grodzisk Wielkopolski', '2026-11-16']]
[['Garazi Zulaika', 'endWorksFor', 'Columbia University', '2026-11-16']]
[['Prerna Singh', 'endWorksFor', 'Tampere University of Technology', '2026-11-16']]
[['Great American Conference men\' s basketball tournament', 'endLocation', 'Firelake Arena', '2026-11-16']]
[['Robert C Andrews', 'endWorksFor', 'University of Bristol', '2026-11-16']]
[['Eline K Vos', 'endWorksFor', 'Spaarne Ziekenhuis', '2026-11-16']]
[['Jerzy Illg', 'endMemberOf', 'Kwame Nkrumah University of Science and Technology', '2026-11-16']]
[['Steinar Raaen', 'endWorksFor', 'Pärnu Linnameeskond', '2026-11-16']]
[['Sergei Zimenkov', 'endMemberOf', 'FC Kairat', '2026-11-17']]
[['Hyung Bae Park', 'startMemberOf', 'Angoulême Charente FC', '2026-11-17']]
[['Corey Sanders ( basketball)', 'startMemberOf', 'K. Sint-Niklase S. K. E.', '2026-11-17']]
[['Fumaça ( footballer, born 1985)', 'endMemberOf', 'NK Marsonia 1909', '2026-11-17']]
[['Davide Bellomo', 'endMemberOf', 'Direction Italy', '2026-11-17']]
[['Paulo Hisao Moriya', 'endWorksFor', 'University of São Paulo', '2026-11-17']]
[['Siim Valmar Kiisler', 'endMemberOf', 'Isamaa', '2026-11-17']]
[['Dzhemal Kyzylatesh', 'endMemberOf', 'FC Vorskla Poltava', '2026-11-17']]
[['Livio Puccioni', 'endPlaysIn', 'La Liga generic instance', '2026-11-17']]
[['Maksim Balayev', 'endMemberOf', 'FC Leningradets Gatchina', '2026-11-17']]
[['Luca Pontigo', 'endMemberOf', 'Colo-Colo B', '2026-11-17']]
[['Donnie Smith', 'endMemberOf', 'Rochester New York FC', '2026-11-18']]
[['Peggy Barber', 'endWorksFor', 'American Library Association', '2026-11-18']]
[['Anja Blüher', 'endMemberOf', 'German Research Foundation', '2026-11-18']]
[['Archie Hall', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-11-18']]
[['Gavin Cowan ( footballer)', 'endMemberOf', 'Grays Athletic F. C.', '2026-11-18']]
[['Rasmus Andersson ( footballer)', 'endMemberOf', 'Falkenbergs FF', '2026-11-18']]
[['Dave Love', 'endMemberOf', 'Columbia Lions men\' s basketball', '2026-11-18']]
[['Mario Montgomery', 'startMemberOf', 'German Research Foundation', '2026-11-18']]
[['Prince Ali', 'endMemberOf', 'UCLA Bruins men\' s basketball', '2026-11-18']]
[['Appadurai Muthamil Iniyan', 'endWorksFor', 'Manonmaniam Sundaranar University', '2026-11-18']]
[['Shawn Jones', 'endMemberOf', 'UMass Lowell River Hawks men\' s basketball', '2026-11-18']]
[['Éric Chelle', 'endMemberOf', 'FC Istres', '2026-11-18']]
[['Miyoko Karami', 'endMemberOf', 'AC Sparta Prague', '2026-11-19']]
[['Giovanni Trapletti', 'startMemberOf', 'West Bromwich Albion F. C.', '2026-11-19']]
[['Stéphane Servais', 'startMemberOf', 'France national under-17 football team generic instance', '2026-11-19']]
[['Laith Nobari', 'endMemberOf', 'Persepolis F. C.', '2026-11-19']]
[['Anfernee Hampton', 'endMemberOf', 'Southern Miss Golden Eagles basketball', '2026-11-19']]
[['James P U002E O U0027 Callaghan', 'endWorksFor', 'United States Environmental Protection Agency', '2026-11-19']]
[['Jon Akin', 'endMemberOf', 'Atlanta Silverbacks FC', '2026-11-19']]
[['Alessandro Peloni', 'endWorksFor', 'University of Glasgow', '2026-11-19']]
[['Dave Zeigler', 'endMemberOf', 'German Research Foundation', '2026-11-19']]
[['Giorgos Theodoridis', 'startMemberOf', 'Agritubel', '2026-11-19']]
[['Alexander Nordhoff', 'endMemberOf', 'Quantec-Indeland', '2026-11-19']]
[['Kazuhiko Tanabe', 'endMemberOf', 'Tokyo Musashino City Fc', '2026-11-19']]
[['Bruno Arfib', 'endWorksFor', 'Pierre and Marie Curie University', '2026-11-19']]
[['Christine Reid', 'endMemberOf', 'San Jose Earthquakes ( 1974– 1988)', '2026-11-19']]
[['Curtis Woodhouse', 'startMemberOf', 'Fortuna Düsseldorf', '2026-11-19']]
[['Gilbert Armstrong', 'endMemberOf', 'Delaware State Hornets men\' s basketball', '2026-11-19']]
[['Jan Kadlec', 'startMemberOf', 'Niki Volos F. C.', '2026-11-19']]
[['Xavier Hernández-Yagüe', 'startMemberOf', 'SK Brann', '2026-11-19']]
[['Maryam Akrami', 'endWorksFor', 'Kyoto University', '2026-11-19']]
[['Amina Gul', 'endMemberOf', 'Rangers F. C.', '2026-11-19']]
[['Jacques Saadé', 'endMemberOf', 'C. D. Atlético Marte', '2026-11-19']]
[['Nenad Stojanović', 'endMemberOf', 'Simurq PIK', '2026-11-19']]
[['Moussa Khoume Gueye', 'endMemberOf', 'Nejmeh SC', '2026-11-20']]
[['Shiang Y Lim', 'endWorksFor', 'University College London Hatter Cardiovascular Institute', '2026-11-20']]
[['Galen Morrison', 'endMemberOf', 'Kansas State Wildcats men\' s basketball', '2026-11-20']]
[['Katia Coppola', 'endMemberOf', 'Inter Milan ( women)', '2026-11-20']]
[['Anthony Losilla', 'endMemberOf', 'San Jose State Spartans men\' s basketball', '2026-11-20']]
[['Philippe Juvin', 'endMemberOf', 'Edwards Lifesciences', '2026-11-20']]
[['Arciom Šyćko', 'endMemberOf', 'FC Uzda', '2026-11-20']]
[['Naba K Dutta', 'endWorksFor', 'Monash University', '2026-11-20']]
[['James Malcolm ( rugby union)', 'endMemberOf', 'Scotland national under-20 rugby union team', '2026-11-20']]
[['Christian Jones', 'endMemberOf', 'Navy Midshipmen men\' s basketball', '2026-11-20']]
[['Mac Bohuny', 'endMemberOf', 'Boston College Eagles men\' s basketball', '2026-11-20']]
[['Jaylen Franklin', 'endMemberOf', 'Abilene Christian Wildcats men\' s basketball', '2026-11-20']]
[['Elias Dolah', 'endMemberOf', 'FC Rosengård 1917', '2026-11-20']]
[['Muhammad Awais', 'startWorksFor', 'Hednesford Town F. C.', '2026-11-21']]
[['Frans Steyn', 'startMemberOf', 'Iowa Hawkeyes men\' s basketball', '2026-11-21']]
[['Ricardo Farro', 'endMemberOf', 'Club Alianza Lima', '2026-11-21']]
[['Jeanvion Yulu-Matondo', 'endMemberOf', 'Belgium national under-21 football team', '2026-11-21']]
[['Larry Abia', 'endMemberOf', 'Básquet Coruña', '2026-11-21']]
[['Georg August Zinn', 'startMemberOf', 'San Diego Padres', '2026-11-22']]
[['Ricky Tanneberger', 'endMemberOf', 'Arkansas Razorbacks men\' s basketball', '2026-11-22']]
[['Clay Damon', 'endMemberOf', 'Washington Huskies men\' s basketball', '2026-11-22']]
[['Gregory Hammond', 'endMemberOf', 'Rhode Island Rams men\' s basketball', '2026-11-22']]
[['Tavaris Watts', 'endMemberOf', 'UTEP Miners men\' s basketball', '2026-11-23']]
[['Carla Swart', 'endMemberOf', 'Velocio– SRAM Pro Cycling', '2026-11-23']]
[['Gary Strong', 'endMemberOf', 'Weber State Wildcats men\' s basketball', '2026-11-23']]
[['Amber L Southwell', 'endWorksFor', 'University of British Columbia', '2026-11-23']]
[['Jérémy Just', 'endMemberOf', 'Kawasaki Frontale', '2026-11-23']]
[['John Craggs ( footballer)', 'startWorksFor', 'University of Leicester', '2026-11-23']]
[['Noen', 'startMemberOf', 'Red Star Belgrade', '2026-11-23']]
[['Geoffrey M U002E Henebry', 'endWorksFor', 'South Dakota State University', '2026-11-23']]
[['Carl Martin', 'endWorksFor', 'Rochester Lancers ( MASL)', '2026-11-23']]
[['Matt Besler', 'startMemberOf', 'C. F. Estrela da Amadora', '2026-11-23']]
[['Ahmed Al-Kaebi', 'endMemberOf', 'Al-Hazem F. C.', '2026-11-23']]
[['Virginia Museum of Fine Arts', 'endMemberOf', 'National Digital Stewardship Alliance', '2026-11-23']]
[['Mustafa Shahin', 'endMemberOf', 'Al Ahli Saida SC', '2026-11-23']]
[['Włocławek Voivodeship', 'endLocation', 'Poland', '2026-11-23']]
[['Consuelo Beatriz Correa Sierra', 'endWorksFor', 'Instituto Nacional De Investigación En Salud Pública', '2026-11-23']]
[['Jonas Geldmann', 'endWorksFor', 'University of Cambridge', '2026-11-23']]
[['Steve Smith', 'endMemberOf', 'Rice Owls men\' s basketball', '2026-11-23']]
[['Oscar Gonzalez', 'endWorksFor', 'University of Florida', '2026-11-23']]
[['Atilla Bozkurt', 'startMemberOf', 'Ethics and Democracy Network', '2026-11-23']]
[['Vasile Iordache', 'endMemberOf', 'FC Brașov ( 1936)', '2026-11-23']]
[['Jack Gyves', 'endMemberOf', 'Hyde United F. C.', '2026-11-23']]
[['Rafael Madero', 'endWorksFor', 'Moldova national under-21 football team', '2026-11-23']]
[['Shyamal C Das', 'endWorksFor', 'Jahangirnagar University', '2026-11-23']]
[['Alexander Steinle', 'endWorksFor', 'Fred Hutchinson Cancer Research Center', '2026-11-23']]
[['Andréa Cristina Bogas', 'startMemberOf', 'Hampton & Richmond Borough F. C.', '2026-11-23']]
[['Vincent Williams', 'endMemberOf', 'Georgia Bulldogs basketball', '2026-11-23']]
[['Aleksandr Nadiradze', 'startMemberOf', '1. FC Nürnberg', '2026-11-23']]
[['Edvin Pakoci', 'endWorksFor', 'University of Novi Sad Faculty of Technical Sciences', '2026-11-23']]
[['Cedrick Ward', 'endMemberOf', 'SC Toulon', '2026-11-23']]
[['Yong-Hui Tian', 'startMemberOf', 'FC Slavia Mozyr', '2026-11-23']]
[['Magnus Stamnestrø', 'endMemberOf', 'Kristiansund BK', '2026-11-23']]
[['Malik Brevard', 'startMemberOf', 'Grambling State Tigers men\' s basketball', '2026-11-23']]
[['Michinao Hashimoto', 'endMemberOf', 'Penn State Nittany Lions basketball', '2026-11-23']]
[['Luca Connell', 'startMemberOf', 'Luton Town F. C.', '2026-11-23']]
[['Berthold K. P. Horn', 'startMemberOf', 'Üsküdar Anadolu S. K.', '2026-11-23']]
[['Jaroslav Plachý', 'endMemberOf', 'Christian Democratic Party ( Czech Republic)', '2026-11-23']]
[['Rachel L Dittmar', 'endWorksFor', 'Medical College of Wisconsin', '2026-11-23']]
[['Kazuhiro Teruya', 'endWorksFor', 'University of New South Wales', '2026-11-23']]
[['Boa Vista, Roraima', 'endLeader', 'Ottomar Pinto', '2026-11-23']]
[['Syamsir Alam', 'endMemberOf', 'Giresunspor', '2026-11-23']]
[['Burr Carlson', 'endMemberOf', 'UConn Huskies men\' s basketball', '2026-11-23']]
[['Markus Ankenbrand', 'endWorksFor', 'Massachusetts Institute of Technology', '2026-11-23']]
[['Arumugam Sivanantham', 'endWorksFor', 'Central Electro Chemical Research Institute', '2026-11-23']]
[['Quadree Drakeford', 'endMemberOf', 'Grambling State Tigers men\' s basketball', '2026-11-23']]
[['Gerard Marius Verrijn Stuart', 'endWorksFor', 'University of Amsterdam', '2026-11-23']]
[['Ben Gerritsen', 'endMemberOf', 'NEC Nijmegen', '2026-11-23']]
[['Herlind Kasner', 'endMemberOf', 'UCF Knights men\' s basketball', '2026-11-24']]
[['Jianyong Ouyang', 'endMemberOf', 'UC Santa Barbara Gauchos men\' s basketball', '2026-11-24']]
[['Willie Jackson', 'endMemberOf', 'Centenary Gentlemen basketball', '2026-11-24']]
[['Don Schverak', 'endMemberOf', 'Houston Cougars men\' s basketball', '2026-11-24']]
[['Emmanuel Ezukam', 'endMemberOf', 'Taliya SC', '2026-11-24']]
[['Aleksandr Sivirin', 'endMemberOf', 'FC Irtysh Omsk', '2026-11-25']]
[['Mathilde Bouché', 'endWorksFor', 'University of Strasbourg', '2026-11-25']]
[['Pierre-Alexis Mouthuy', 'startMemberOf', 'Hamburger SV', '2026-11-26']]
[['Steve Green', 'startMemberOf', 'Advisory Council For The Promotion Of A Civic And Social Forum For The Constituent Debate', '2026-11-26']]
[['Ada Ferrer-i-Carbonell', 'endMemberOf', 'Montpellier Hérault Rugby', '2026-11-26']]
[['Kamrul Hassan', 'endWorksFor', 'University of Ulsan', '2026-11-26']]
[['Patricia K A Mongini', 'startMemberOf', 'Pärnu JK Tervis', '2026-11-26']]
[['Jahongir Ergashev', 'endMemberOf', 'FK Khujand', '2026-11-26']]
[['Heather Mode', 'endMemberOf', 'Kraft Foods', '2026-11-26']]
[['Charlotte Broughton', 'endWorksFor', 'FC Hansa Rostock', '2026-11-26']]
[['John Dove', 'startMemberOf', 'West Bromwich Albion F. C.', '2026-11-26']]
[['Thom Evans', 'startMemberOf', 'CD Leganés', '2026-11-26']]
[['Rod Mcreynolds', 'endMemberOf', 'Jacksonville State Gamecocks men\' s basketball', '2026-11-26']]
[['Miriam Olid', 'endWorksFor', 'University of Barcelona', '2026-11-26']]
[['Billy Price ( footballer, born 1934)', 'endMemberOf', 'Tsinghua University', '2026-11-27']]
[['Baofu Ding', 'endWorksFor', 'Berwick Rangers F. C.', '2026-11-27']]
[['Beatriz González', 'startMemberOf', 'Burton Albion F. C.', '2026-11-27']]
[['Stephanie J W Shoop-Worrall', 'endMemberOf', 'Yale School of Public Health', '2026-11-27']]
[['Shin Soo-jin', 'endMemberOf', 'Ulsan Hyundai Mipo Dockyard FC', '2026-11-27']]
[['James White', 'endWorksFor', 'University of Ottawa', '2026-11-27']]
[['Dasan Robinson', 'startMemberOf', 'Secteur Ä', '2026-11-27']]
[['Deanne Bird', 'endWorksFor', 'Macquarie University Faculty of Science and Engineering', '2026-11-27']]
[['Oreste Roccasecca', 'endMemberOf', 'S. S. Chieti Calcio', '2026-11-27']]
[['Jeroen Rouwkema', 'startMemberOf', 'Bohemian F. C.', '2026-11-27']]
[['Maksim Losev', 'endMemberOf', 'FC Tambov', '2026-11-27']]
[['Lisa Trigg', 'startMemberOf', 'HNK Hajduk Split', '2026-11-27']]
[['Olivier Chaplain', 'startMemberOf', 'Norway national under-21 football team generic instance', '2026-11-27']]
[['Chieffy Caligdong', 'endMemberOf', 'Philippines national football team', '2026-11-28']]
[['Haider Raza', 'startMemberOf', 'FK BASK', '2026-11-28']]
[['Nick Archer ( cricketer)', 'endMemberOf', 'Staffordshire County Cricket Club', '2026-11-28']]
[['T O U0027 Brien', 'endMemberOf', 'Boston College Eagles men\' s basketball', '2026-11-28']]
[['Brian Jung', 'endMemberOf', 'Arizona Wildcats men\' s basketball', '2026-11-28']]
[['Ihab K U002E Mohamed', 'startMemberOf', 'Andover F. C.', '2026-11-28']]
[['Darci Menezes', 'endMemberOf', 'São José Esporte Clube', '2026-11-28']]
[['Bogusław Wolniewicz', 'endMemberOf', 'Polish United Workers\' Party', '2026-11-28']]
[['Christian Jakobsen', 'endMemberOf', 'FC Roskilde', '2026-11-28']]
[['Michel Vorm', 'endMemberOf', 'Swansea City A. F. C.', '2026-11-28']]
[['Marco Piga', 'endMemberOf', 'Associazione Sportiva Dilettantistica Ilvamaddalena', '2026-11-28']]
[['Neil Robinson ( footballer, born 1957)', 'endMemberOf', 'KM Torhout', '2026-11-28']]
[['Gino Maes', 'endMemberOf', 'Darlington F. C.', '2026-11-28']]
[['Colin de Grandhomme', 'endMemberOf', 'New Zealand national cricket team', '2026-11-29']]
[['Machel Millwood', 'endMemberOf', 'Atlanta Silverbacks FC', '2026-11-30']]
[['Rhian Brewster', 'endMemberOf', 'Moscow State University', '2026-11-30']]
